iter	Passed	Remaining
0	83	41603
1	85	21325
2	87	14521
3	89	11141
4	92	9147
5	94	7789
6	97	6847
7	99	6103
8	101	5551
9	103	5090
10	106	4713
11	108	4402
12	110	4140
13	112	3920
14	115	3721
15	117	3568
16	121	3453
17	124	3324
18	126	3211
19	129	3115
20	132	3026
21	135	2942
22	138	2869
23	141	2799
24	143	2734
25	146	2675
26	148	2610
27	151	2551
28	153	2492
29	155	2441
30	158	2402
31	161	2356
32	163	2315
33	166	2275
34	168	2239
35	170	2203
36	173	2168
37	175	2136
38	178	2109
39	181	2083
40	184	2060
41	187	2042
42	189	2015
43	192	1990
44	194	1965
45	196	1943
46	199	1921
47	201	1900
48	204	1880
49	206	1860
50	208	1839
51	211	1823
52	214	1805
53	218	1800
54	221	1790
55	223	1772
56	226	1756
57	228	1740
58	230	1725
59	233	1710
60	235	1695
61	238	1682
62	240	1670
63	243	1658
64	246	1646
65	248	1634
66	251	1623
67	253	1611
68	255	1599
69	258	1588
70	260	1576
71	263	1565
72	265	1554
73	268	1542
74	270	1534
75	273	1524
76	276	1519
77	279	1511
78	281	1502
79	284	1495
80	287	1488
81	290	1479
82	292	1470
83	295	1461
84	297	1454
85	300	1446
86	302	1437
87	305	1430
88	307	1422
89	310	1415
90	313	1407
91	315	1399
92	318	1392
93	320	1384
94	323	1377
95	325	1370
96	328	1363
97	330	1356
98	333	1349
99	335	1342
100	338	1336
101	340	1329
102	343	1322
103	345	1316
104	348	1310
105	350	1304
106	353	1297
107	355	1291
108	358	1285
109	360	1279
110	363	1274
111	366	1269
112	368	1262
113	371	1257
114	373	1251
115	376	1245
116	378	1240
117	381	1234
118	384	1229
119	386	1223
120	388	1217
121	391	1212
122	393	1206
123	396	1201
124	398	1196
125	401	1191
126	404	1186
127	406	1181
128	409	1177
129	412	1172
130	414	1168
131	418	1166
132	421	1163
133	424	1159
134	427	1155
135	430	1151
136	432	1146
137	436	1145
138	439	1140
139	441	1135
140	444	1131
141	447	1127
142	449	1123
143	452	1118
144	455	1115
145	458	1112
146	461	1107
147	464	1104
148	466	1099
149	469	1095
150	471	1090
151	474	1085
152	476	1081
153	479	1076
154	481	1072
155	484	1067
156	486	1063
157	489	1059
158	491	1054
159	494	1049
160	496	1045
161	499	1041
162	501	1036
163	503	1032
164	506	1027
165	508	1023
166	511	1019
167	513	1014
168	515	1010
169	518	1005
170	520	1001
171	523	997
172	525	993
173	527	989
174	530	985
175	532	981
176	535	976
177	537	972
178	539	968
179	542	963
180	544	959
181	547	955
182	549	952
183	552	948
184	554	944
185	557	941
186	560	937
187	562	933
188	565	930
189	567	926
190	570	923
191	573	919
192	576	916
193	578	913
194	581	909
195	584	906
196	586	902
197	588	898
198	591	894
199	593	890
200	596	886
201	598	882
202	600	878
203	603	876
204	606	872
205	609	870
206	611	866
207	614	862
208	616	858
209	619	854
210	621	850
211	623	847
212	626	843
213	628	839
214	630	836
215	633	832
216	635	828
217	637	825
218	640	821
219	642	817
220	644	814
221	647	810
222	649	807
223	652	803
224	654	799
225	657	796
226	659	793
227	661	789
228	664	786
229	668	784
230	670	781
231	673	777
232	675	774
233	677	770
234	680	767
235	682	763
236	684	760
237	687	756
238	689	753
239	692	749
240	694	746
241	697	743
242	700	741
243	703	737
244	706	735
245	708	731
246	711	728
247	713	725
248	716	722
249	718	718
250	721	715
251	723	712
252	726	708
253	728	705
254	730	702
255	733	698
256	735	695
257	737	691
258	740	688
259	742	685
260	744	681
261	747	678
262	749	675
263	751	671
264	753	668
265	756	665
266	758	662
267	761	658
268	763	655
269	765	652
270	768	649
271	770	645
272	772	642
273	774	639
274	777	636
275	779	632
276	782	629
277	784	626
278	786	623
279	789	620
280	791	616
281	793	613
282	796	610
283	798	607
284	801	604
285	803	601
286	806	598
287	808	595
288	810	591
289	813	588
290	815	585
291	818	583
292	820	579
293	823	576
294	825	573
295	828	570
296	830	567
297	833	564
298	835	561
299	837	558
300	840	555
301	842	552
302	845	549
303	847	546
304	849	543
305	852	540
306	854	537
307	857	534
308	859	531
309	863	529
310	866	526
311	868	523
312	871	520
313	873	517
314	876	514
315	879	512
316	881	508
317	884	505
318	886	502
319	888	499
320	891	496
321	893	494
322	896	491
323	898	488
324	901	485
325	904	482
326	906	479
327	908	476
328	911	473
329	913	470
330	915	467
331	918	464
332	922	462
333	925	459
334	927	457
335	930	454
336	932	451
337	935	448
338	937	445
339	940	442
340	942	439
341	944	436
342	947	433
343	949	430
344	952	427
345	954	424
346	957	422
347	959	419
348	962	416
349	964	413
350	967	410
351	969	407
352	972	404
353	974	402
354	977	399
355	979	396
356	982	393
357	985	390
358	987	388
359	990	385
360	993	382
361	995	379
362	998	376
363	1001	374
364	1004	371
365	1006	368
366	1009	365
367	1011	362
368	1014	360
369	1017	357
370	1020	354
371	1022	351
372	1024	348
373	1027	346
374	1029	343
375	1032	340
376	1034	337
377	1036	334
378	1039	331
379	1041	329
380	1044	326
381	1046	323
382	1049	320
383	1051	317
384	1054	314
385	1056	312
386	1059	309
387	1061	306
388	1064	303
389	1066	300
390	1068	297
391	1071	295
392	1073	292
393	1075	289
394	1078	286
395	1080	283
396	1083	281
397	1085	278
398	1087	275
399	1090	272
400	1093	269
401	1095	267
402	1098	264
403	1100	261
404	1103	258
405	1105	255
406	1107	253
407	1110	250
408	1113	247
409	1115	244
410	1118	242
411	1120	239
412	1123	236
413	1125	233
414	1127	231
415	1130	228
416	1132	225
417	1135	222
418	1138	219
419	1140	217
420	1143	214
421	1145	211
422	1147	208
423	1150	206
424	1153	203
425	1155	200
426	1158	198
427	1160	195
428	1163	192
429	1165	189
430	1167	186
431	1170	184
432	1172	181
433	1175	178
434	1178	176
435	1181	173
436	1184	170
437	1186	167
438	1189	165
439	1191	162
440	1194	159
441	1196	157
442	1199	154
443	1201	151
444	1203	148
445	1206	146
446	1208	143
447	1210	140
448	1213	137
449	1215	135
450	1217	132
451	1220	129
452	1222	126
453	1225	124
454	1227	121
455	1229	118
456	1231	115
457	1234	113
458	1236	110
459	1239	107
460	1241	105
461	1244	102
462	1246	99
463	1248	96
464	1251	94
465	1253	91
466	1255	88
467	1258	86
468	1260	83
469	1263	80
470	1265	77
471	1267	75
472	1270	72
473	1272	69
474	1274	67
475	1277	64
476	1279	61
477	1282	59
478	1285	56
479	1287	53
480	1290	50
481	1293	48
482	1295	45
483	1298	42
484	1300	40
485	1303	37
486	1305	34
487	1309	32
488	1311	29
489	1314	26
490	1316	24
491	1319	21
492	1321	18
493	1324	16
494	1326	13
495	1328	10
496	1331	8
497	1333	5
498	1335	2
499	1338	0
